Country,WeGlide,OpenAIP,OpenAIP ID,OLC,Region,Launches,Launches 2015,Launches 2019,Wrong
AR,America Buenos,AMERICA,139515,America Buenos A,,780,409,170,
AR,Gonzalez Chavez,GONZALEZ CHAVES,139775,Gonzalez Chavez,,763,355,81,
AR,Azul Aerodromo,AZUL,139533,Azul Aerodromo,,692,378,155,
AR,Zarate,ZARATE,140133,Zarate Aerodroae,,619,406,127,
AR,Laguna De Gomez,LAGUNA DE GOMEZ,139869,Laguna De Gom ez,,573,292,75,
AR,San Martin Mendoza,SAN MARTIN,140053,San Martin Mendoza,,531,256,82,x
AR,Santa Rosa,SANTA ROSA,140065,Santa9rosa,,389,125,13,
AR,San Juan Aeroclub,SAN JUAN AEROCLUB,140050,San Juan Aeroclu,,289,82,21,
AR,Rafaela,RAFAELA,139999,C P Rafaela Inst,,282,122,38,x
AR,Trenque Lauquen,TRENQUE LAUQUEN,140101,Trenque Lauquen,,270,63,12,
AR,Alvear Aeroparque,ALVEAR AEROPARQUE,139513,Alvear Aeroparqu,,245,143,22,
AR,Esperanza Santa,ESPERANZA,139695,Esperanza Santa,,240,173,27,x
AR,Bolivar,BOLIVAR,139556,Bolivar,,235,194,72,
AR,Chos Malal,CHOS MALAL,139616,Chos Malal,,213,149,1,
AR,Jachal,CHAPELCO,139606,Jachal,,188,188,62,x
AR,Albatros,BARADERO,139541,Albatros Aero,,169,49,37,x
AR,Canuelas,MANUEL AFONSO,139912,Canuelas Aerodro,,142,82,23,x
AR,Ceres,CERES,139600,Ceres3,,141,60,2,x
AR,Nahuel Huapi,LAGO NAHUEL HUAPI,139868,Nahuel Huapi,,141,46,10,
AR,Zapala,ZAPALA,140132,Zapala Neuquen,,135,134,62,
AR,Pehuajó,COMODORO PEDRO ZANNI,139629,Pehuajo Comodoro,,113,95,47,
AR,General Roca,GRAL ROCA,139779,General Roca,,95,63,1,x
AR,Trenque Nanco,TRENQUE LAUQUEN,140101,Trenque Nanco,,80,43,13,x
AR,Villa Dolores,VILLA DOLORES,140120,Villa Dolores,,75,75,55,
AR,Blondi Junin,BENITO JUAREZ,139551,Blondi Junin Agr,,56,14,8,x
AR,La Laja,LA LAJA,139841,La Laja,,53,1,0,
AR,Tandil My Eduard,TANDIL AEROCLUB,140083,Tandil My Eduard,,50,48,6,x
AR,Valle Del Conlara,VALLE DEL CONLARA,140110,Valle Del Conlar,,44,44,0,
AR,Elizalde,ELIZALDE,139693,Elizalde,,39,33,6,
AR,Jorge Newbery,JORGE NEWBERY,139823,Jorge Newbey,,38,37,0,
AR,Pigue,PIGUE,139974,Pigue Gld,,37,30,15,
AR,Asuncion Silvio,DON EMILIO,139663,Asuncion Silvio,,36,10,6,x
AR,El Calafate,EL CALAFATE,139672,El Calafate Arge,,36,36,19,
AR,Jueraz Celman,JUAREZ CELMAN,139828,Jueraz Celman,,28,16,0,
AR,Giles San Andres,SAN ANDRES DE GILES,140035,Giles San Andres,,26,11,2,
AR,Jose De San Martin,JOSE DE SAN MARTIN,139824,Jose De San Mart,,24,22,12,
AT,Lienz-Nikolsdorf,LIENZ-NIKOLSDORF,141932,Lienz Nikolsdorf,T,2884,1595,330,
AT,Niederöblarn,NIEDERÖBLARN,141943,Niederoeblarn,Stmk,1922,1241,192,
AT,Nötsch,NÖTSCH IM GAILTAL,141945,Noetsch,Ktn,1572,1035,266,
AT,St. Johann,ST. JOHANN/TIROL,141973,St Johann I T,T,1117,775,157,
AT,Feldkirchen,FELDKIRCHEN/OSSIACHER SEE,141947,Feldkirchen,Ktn,1098,739,154,
AT,Zell Am See,ZELL AM SEE,141998,Zell Am See,Sbg,1086,661,168,
AT,Reutte-Höfen,REUTTE-HÖFEN,141955,Reutte Hoefen,T,832,527,119,
AT,Kufstein,KUFSTEIN-LANGKAMPFEN,141929,Kufstein,T,719,455,88,
AT,Mauterndorf,MAUTERNDORF,141937,Mauterndorf,Sbg,666,379,78,
AT,Wiener Neustadt,WIENER NEUSTADT WEST,141994,Wienerneust West,NÖ,610,397,79,
AT,Innsbruck,INNSBRUCK,141915,Innsbruck,T,570,352,87,
AT,Hohenems-Dornbirn,HOHENEMS-DORNBIRN,141911,Hohenems Dornbir,Vbg,566,451,119,
AT,Micheldorf,MICHELDORF,141941,Micheldorf,OÖ,551,507,90,
AT,Lanzen-Turnau,LANZEN-TURNAU,141982,Lanzen Turnau,Stmk,511,299,43,
AT,Ried-Kirchheim,RIED-KIRCHHEIM,141956,Ried Kirchheim,OÖ,397,311,57,
AT,Ferlach-Glainach,FERLACH-GLAINACH,141900,Ferlach Glainach,Ktn,371,263,27,
AT,Leoben/Timmersdorf,LEOBEN/TIMMERSDORF,141980,Timmersdorf Prv,Stmk,361,171,22,
AT,Schärding-Suben,SCHÄRDING-SUBEN,141966,Schaerding Suben,OÖ,251,175,40,
AT,Scharnstein,SCHARNSTEIN,141960,Scharnstein,OÖ,236,168,32,
AT,Dobersberg,DOBERSBERG,141887,Dobersberg,NÖ,203,164,61,
AT,Aigen,AIGEN,141875,Aigen Mil,Stmk,182,102,15,
AT,Gmunden,GMUNDEN-LAAKIRCHEN,141902,Gmunden,OÖ,178,177,25,
AT,Graz,GRAZ,141904,Graz,Stmk,148,121,9,
AT,Zeltweg,ZELTWEG,141997,Zeltweg,Stmk,139,90,9,
AT,Tulln Langenlebarn,TULLN,141979,Tulln Langenlebach,NÖ,129,97,8,
AT,Mariazell,MARIAZELL,141936,Mariazell,Stmk,122,119,10,
AT,Linz-Ost,LINZ-OST,141934,Linz Ost,OÖ,75,68,7,
AT,Krems-Langenlois,KREMS-LANGENLOIS,141925,Krems Langenlois,NÖ,70,44,7,
AT,Weiz-Unterfladni,WEIZ/UNTERFLADNITZ,141989,Weiz Unterfladni,Stmk,58,30,0,
AT,Trieben,TRIEBEN,141981,Trieben,Stmk,53,20,9,
AT,Fürstenfeld,FÜRSTENFELD,141899,Fuerstenfeld,Stmk,50,30,1,
AT,Pinkafeld,PINKAFELD,141950,Pinkafeld Prv,Bgld,25,18,1,
AT,Eferding,EFERDING,141889,Eferding,OÖ,24,19,7,
AT,Wels,WELS,141990,Wels,OÖ,22,3,0,
AT,Wiener Neustadt Ost,WIENER NEUSTADT OST,141993,Wiener Neustadt,NÖ,18,12,1,
AT,Friesach-Hirt,FRIESACH-HIRT,141897,Friesach Hirt,Ktn,17,10,10,
AT,Spitzerberg,SPITZERBERG,141968,Spitzerberg,NÖ,16,1,0,
AT,Kapfenberg,KAPFENBERG,141918,Kapfenberg,Stmk,10,6,0,
AT,Klagenfurt,KLAGENFURT,141923,Klagenfurt,Ktn,9,2,1,
AT,Seitenstetten,SEITENSTETTEN,141967,Seitenstetten,NÖ,3,2,0,
AT,Wolfsberg,WOLFSBERG,141996,Wolfsberg,Ktn,3,0,0,
AT,Stockerau,STOCKERAU,141976,Stockerau Prv,NÖ,2,2,2,
AT,Linz,LINZ,141933,Linz,OÖ,1,1,0,
AT,Punitz-Güssingg,PUNITZ-GÜSSING,141951,Punitz Gussingg,Bgld,1,1,0,
AT,St. Georgen-Ybbsfeld,ST. GEORGEN AM YBBSFELD,141971,St Georgen Ybbsf,NÖ,1,1,1,
AT,Völtendorf,VÖLTENDORF,141985,Voeltendorf,NÖ,1,1,0,
AT,Vöslau,VÖSLAU,141986,Voeslau,NÖ,1,1,0,
AU,Benalla,BENALLA,140284,Benalla Gld,VIC,7373,3993,989,
AU,Lake Keepit,LAKE KEEPIT,140980,Lake Keepit Gld,NSW,5497,3370,1009,
